Text,Language
नहीं हम नहीं जानते जिमी ने कहा,Hindi
कुछ आलोचकों का दावा है कि विकिपीडिया की खुली सरंचना के कारण इंटरनेट उत्पीड़क विज्ञापनदाता और वे लोग जो कोई हमला बोलना चाहते हैं इसे आसानी से लक्ष्य बनाते हैं।अमेरिकी प्रतिनिधि सभा और विशेष हित के समूहों सहित संगठनों के द्वारा दिए गए लेखों में राजनितिक परिप्रेक्ष्य शामिल किया गया है और संगठन जैसे माइक्रोसोफ्ट ने विशेष लेखों पर काम करने के लिए वित्तीय भत्ते देने का प्रस्ताव रखा है। इन मुद्दों को मुख्य रूप से कोलबर्ट रिपोर्ट में स्टीफन कोलबर्ट के द्वारा ख़राब तरीके से प्रस्तुत किया गया है। की पुस्तक द विकिपीडिया रेवोलुशन के लेखक एंड्रयू लिह के अनुसार एक विकी में इसकी सभी गतिविधियाँ खुले में होती हैं ताकि इनकी जांच की जा सके समुदाय में अन्य लोगों की क्रियाओं के प्रेक्षण के द्वारा भरोसा पैदा किया जाता है इसके लिए लोगों की सामान और पूरक रुचियों का पता लगाया जाता है। अर्थशास्त्री टायलर कोवेन लिखते हैं यदि मुझे यह सोचना पड़े कि अर्थशास्त्र पर विकिपीडिया के जर्नल लेख सच हैं या या मीडियन सम्बन्धी लेख सच हैं तो मैं विकिपीडिया को चुनूंगा इसके लिए मुझे ज्यादा सोचना नहीं पडेगा,Hindi
वह टिप्पणी देते हैं कि नॉनफिक्शन के कई पारंपरिक स्रोत प्रणालीगत पूर्वाग्रहों से पीड़ित है। जर्नल लेख में नवीन परिणामों की रिपोर्ट जरुरत से जयादा दी जाती है और प्रासंगिक जानकारी को समाचार रिपोर्ट में से हटा दिया जाता है। हालाँकि वे यह चेतावनी भी देते हैं कि इंटरनेट की साइटों पर त्रुटियां अक्सर पायी जाती हैं और शिक्षाविदों तथा विशेषज्ञों को इन्हें सुधारने के लिए सतर्क रहना चाहिए फ़रवरी में द हार्वर्ड क्रिमसन अखबार में एक लेख में कहा गया कि हार्वर्ड विश्वविद्यालय में कुछ प्रोफेसर अपने पाठ्यक्रम में विकिपीडिया को शामिल करते हैं लेकिन विकिपीडिया का उपयोग करने में उनकी अवधारणा में मतभेद है। जून में अमेरिकी लाइब्रेरी एसोसिएशन के भूतपूर्व अध्यक्ष माइकल गोर्मनने गूगल के साथ विकिपीडिया को निंदन किया और कहा कि वे शिक्षाविद जो विकिपीडिया के उपयोग का समर्थन करते हैं बौद्धिक रूप से उस आहार विशेषज्ञ के समतुल्य हैं जो सब चीजों के साथ बिग मैक्स के निरंतर आहार की सलाह देते हैं। उन्होंने यह भी कहा कि बौद्धिक रूप से निष्क्रिय लोगों की एक पीढ़ी जो इन्टरनेट से आगे बढ़ने में असमर्थ है उसे विश्वविद्यालयों में उत्पन्न किया जा रहा है। उनकी शिकायत है कि वेब आधारित स्रोत उस अधिक दुर्लभ पाठ्य को सीखने से रोक रहे हैं जो या तो केवल दस्तावेजों में मिलता है या सबस्क्रिप्शनओनली जिनमें सदस्यता ली जाती है वेबसाइट्स पर मिलता है। इसी लेख में जेन्नी फ्राई ऑक्सफ़ोर्ड इंटरनेट संस्थान में एक अनुसंधान साथी ने विकिपीडिया की अकादमिक शिक्षा पर टिप्पणी दी कि आप यह नहीं कह सकते हैं कि बच्चे बौद्धिक रूप से आलसी हैं क्योंकि वे इंटरनेट का उपयोग कर रहें हैं जबकि दूसरी ओर शिक्षाविद अपने अनुसंधान में सर्च इंजन का उपयोग कर रहे हैं। अंतर यह है कि उन्हें जो भी उन्हें प्राप्त हो रहा है वह अधिकारिक है या नहीं और इसके बारे में जटिल होने का उन्हें अधिक अनुभव है। बच्चों को यह बताने की आवश्यकता है कि एक महत्वपूर्ण और उचित तरीके से इंटरनेट का उपयोग कैसे किया जाये। विकिपीडिया समुदाय ने विकिपीडिया की विश्वसनीयता को सुधारने की कोशिश की है। अंग्रेजी भाषा के विकिपीडिया ने मूल्यांकन पैमाने की शुरुआत की जिससे लेख की गुणवत्ता की जांच की जाती है अन्य संस्करणों ने भी इसे अपना लिया है। अंग्रजी में लगभग लेख फीचर्ड आर्टिकल के दर्जे के उच्चतम रैंक तक पहुँचने के लिए मापदंडों के समुच्चय को पास कर चुके हैं ऐसे लेख अपने विषय में सम्पूर्ण और भली प्रकार से लिखा गया कवरेज़ उपलब्ध कराते हैं जिन्हें कई सहकर्मी समीक्षा प्रकाशनों के द्वारा समर्थन प्राप्त है। ज़र्मन विकिपीडिया लेखों के स्थिर संस्करणों के रख रखाव की एक प्रणाली का परीक्षण कर रहा है ताकि यह एक पाठक को लेख के उन संस्करणों को देखने में मदद करे जो विशिष्ट समीक्षाओं से होकर गुजर चुके हैं। अन्य भाषाओँ के संस्करण इस ध्वजांकित संशोधन के प्रस्ताव को लागू करने के लिए एक सहमति तक नहीं पहुँचे हैं। एक और प्रस्ताव यह है कि व्यक्तिगत विकिपीडिया योगदानकर्ताओं के लिए ट्रस्ट रेटिंग बनाने के लिए सॉफ्टवेयर का उपयोग और इन रेटिंग्स का उपयोग यह निर्धारित करने में करना कि कौन से परिवर्तन तुंरत दिखायी देंगे। विकिपीडिया समुदाय ने की स्थापना की है जिसमें एक स्पष्ट सत्ता सरंचना शामिल है जो स्वयं सेवी प्रशासकों को सम्पादकीय नियंत्रण का अधिकार देती है। विकिपीडिया के समुदाय को पंथ की तरह के रूप में भी वर्णित किया गया है हालाँकि इसे हमेशा पूरी तरह से नकारात्मक अभिधान के साथ इस तरह से वर्णित नहीं किया गया है और अनुभवहीन उपयोगकर्ताओं को समायोजित करने की असफलता के लिए इसकी आलोचना की जाती है। समुदाय में अच्छी प्रतिष्ठा के सम्पादक स्वयंसेवक स्टेवर्डशिप के कई स्तरों में से एक को चला सकते हैं यह प्रशासक के साथ शुरू होता है विशेषाधिकृत उपयोगकर्ताओं का एक समूह जिसके पास पृष्ठों को डीलीट करने की क्षमता है विध्वंस प्रवृति या सम्पादकीय विवादों की स्थिति में लेख में परिवर्तन को रोक देते हैं और उपयोगकर्ताओं के सम्पादन को अवरुद्ध कर देते हैं। नाम के अलावा प्रशासक फैसला लेने में किसी भी विशेषाधिकार का उपयोग नहीं करते हैं इसके बजाय वे अधिकतर उन लेखों के संपादन तक ही सीमित होते हैं जिनमें परियोजना व्यापक प्रभाव होते हैं और इस प्रकार से ये सामान्य संपादकों को अनुमति नहीं देते हैं और उपयोगकर्ताओं को विघटनकारी संपादन जैसे विध्वंस प्रवृति के लिए प्रतिबंधित कर देते हैं। चूंकि विकिपीडिया विश्वकोश निर्माण के अपरंपरागत मोडल के साथ विकसित होता है विकिपीडिया को कौन लिखता है,Hindi
यह परियोजना के बारे में बार बार अक्सर अन्य वेब परियोजनाओं जैसे डिग के सन्दर्भ में पूछे जाने वाले प्रश्नों में से एक बन गया है। जिमी वेल्स ने एक बार तर्क किया कि केवल एक समुदाय कुछ सौ स्वयंसेवकों का एक समर्पित समूह विकिपीडिया को बहुत अधिक योगदान देता है और इसलिए परियोजना किसी पारंपरिक संगठन से अधिक मिलती जुलती है वेल्स ने एक अध्ययन में पाया कि से अधिक संपादन केवल उपयोगकर्ताओं के द्वारा ही किये जाते हैं उस समय पर लोग योगदान के मूल्यांकन की इस विधि पर बाद में आरोन सवार्त्ज़ ने विवाद उठाया उन्होंने नोट किया कि कई लेख जिन पर उन्होंने अध्ययन किया उनके अवयवों के एक बड़े भाग में उपयोगकर्ताओं ने कम सम्पादन के साथ योगदान दिया था। में डार्टमाउथ कॉलेज के शोधकर्ताओं ने अध्ययन में यह पाया कि विकिपीडिया के गुमनाम और विरले योगदानकर्ताज्ञान के स्रोत के रूप में उतने ही विश्वसनीय हैं जितने कि वे योगदानकर्ता जो साईट के साथ पंजीकरण करते हैं। हालाँकि कुछ योगदानकर्ता अपने क्षेत्र में प्राधिकारी हैं विकिपीडिया के लिए यह आवश्यक है कि यहाँ तक कि उनके योगदानकर्ता को प्रकाशित और निरीक्षण के सूत्रों द्वारा समर्थन प्राप्त हो। परियोजना की योग्यता पर सहमति की प्राथमिकता को उत्कृष्टविरोधी के रूप में चिन्हित किया गया है। अगस्त में विर्गील ग्रिफ़िथ द्वारा विकसित एक वेबसाईट विकिस्केनर ने विकिपीडिया के खातों के बिना बेनाम संपादकों के द्वारा विकिपीडिया में किये जाने वाले परिवर्तन के स्रोतों का पता लगाना शुरू किया। इस कार्यक्रम ने प्रकट किया कि कई ऐसे संपादन निगमों या सरकारी एजेंसियों के द्वारा किये गए जिनमें उन से सम्बंधित उनके कर्मचारियों या उनके कार्यों से सम्बंधित लेखों के अवयवों को बदला गया। में एक समुदाय के रूप में विकिपीडिया के एक अध्ययन में अर्थशास्त्र के पीएचडी,Hindi
विद्यार्थी आंद्रे सिफोलिली ने तर्क दिया कि विकी सॉफ्टवेयर में भाग लेने की कम लेन देन लागत सहयोगी विकास के लिए एक उत्प्रेरक का काम करती है और यह कि एक निर्माणात्मक रचना दृष्टिकोण भागीदारी को प्रोत्साहित करता है। ओक्स्फोर्ड इंटरनेट संस्थान और हार्वर्ड लॉ स्कूल्स बर्क्मेन सेंटर फॉर इंटरनेट एंड सोसाइटी के जोनाथन जीटरेन ने अपनी की पुस्तक द फ्यूचर ऑफ़ द इन्टरनेट एंड हाउ टु स्टाप इट में कहा कैसे खुले सहयोग में एक केस अध्ययन के रूप में विकिपीडिया की सफलता ने वेब में नवाचार को बढ़ावा दिया है। में किये गए एक अध्ययन में पाया गया कि विकिपीडिया के उपयोगकर्ता गैरविकिपीडिया उपयोगकर्ताओं की तुलना में कम खुले और सहमत होने के कम योग्य थे हालाँकि वे अधिक ईमानदार थे। विकिपीडिया सईनपोस्ट अंग्रेजी विकिपीडिया पर समुदाय अखबार है और इसकी स्थापना विकिमीडिया फाउंडेशन न्यासी मंडल के वर्तमान अध्यक्ष और प्रशासक माइकल स्नो के द्वारा की गयी। यह साइट से ख़बरों और घटनाओं को शामिल करता है और साथ ही सम्बन्धी परियोजनाओं जैसे विकिमीडिया कोमन्स से मुख्य घटनाओं को भी शामिल करता है। विकिपीडिया की मेजबानी और वित्तपोषण विकिमीडिया फाउनडेशन के द्वारा किया जाता है यह एक गैर लाभ संगठन है जो विकिपीडिया से सम्बंधित परियोजनाओं जैसे विकिबुक्स का भी संचालन करता है। विकिमीडिया के अध्याय विकिपीडिया के उपयोगकर्ताओं का स्थानीय सहयोग भी परियोजना की पदोन्नति विकास और वित्त पोषण में भाग लेता है। विकिपीडिया का संचालन मीडियाविकी पर निर्भर है। यह एक कस्टमनिर्मित मुफ्त और खुला स्रोत विकी सॉफ़्टवेयर प्लेटफोर्म है जिसे में लिखा गया है और डेटाबेस पर बनाया गया है। इस सॉफ्टवेयर में प्रोग्रामिंग विशेषताएं शामिल हैं जैसे मेक्रो लेंग्वेज वेरिएबल्स अ ट्रांसक्लुजन सिस्टम फॉर टेम्पलेट्स और रीडायरेक्शन,Hindi
मीड़याविकी को जनरल पब्लिक लाइसेंस के तहत लाइसेंस प्राप्त है और इसका उपयोग सभी विकिमीडिया परियोजनाओं और कई अन्य विकी परियोजनाओं के द्वारा किया जाता है। मूल रूप से विकिपीडिया क्लिफ्फोर्ड एडम्स पहला चरण द्वारा पर्ल में लिखे गए यूजमोडविकी पर चलता था जिसे प्रारंभ में लेख हाइपरलिंक के लिए केमलकेस की आवश्यकता होती थी वर्तमान डबल ब्रेकेट प्रणाली का समावेश बाद में किया गया। जनवरी द्वितीय चरण में शुरू होकर विकिपीडिया ने डेटाबेस के साथ एक विकी इंजन पर चलना शुरू कर दिया यह सॉफ्टवेयर माग्नस मांसके के द्वारा विकिपीडिया के लिए कस्टमनिर्मित था। दूसरे चरण के सॉफ्टवेयर को तीव्र गति से बढ़ती मांग को समायोजित करने के लिए बार बार संशोधित किया गया। जुलाई तीसरे चरण में विकिपीडिया तीसरी पीढ़ी के सॉफ्टवेयर में स्थानांतरित हो गया यह मिडिया विकी था जिसे मूल रूप से ली डेनियल क्रोकर के द्वारा लिखा गया था। मीड़याविकी सॉफ्टवेयर की कार्यक्षमता बढ़ाने के लिए कई मीड़याविकी विस्तार इन्सटाल किये गए हैं। अप्रैल में एक ल्युसेन विस्तार को मिडिया विकी के बिल्टइन सर्च में जोड़ा गया और विकिपीडिया सर्चिंग के लिए से ल्युसेन में बदल गया। वर्तमान में ल्युसेन सर्च जो कि जावा में लिखी गयी है और ल्युसेन लायब्रेरी पर आधारित है का प्रयोग किया जाता है। विकिपीडिया वर्तमान में लिनक्स सर्वर मुख्य रूप से उबुन्टु के समर्पित समूहों पर ज़ेड एफ़ एस के लिए कुछ ओपनसोलारिस मशीनों के साथ संचालित है। फरवरी में फ्लोरिडा में एम्स्टरडाम में और याहू,Hindi
के कोरियाई होस्टिंग सुविधा सियोल में थीं। तक विकिपीडिया ने एकमात्र सर्वर का प्रयोग किया इसके बाद सर्वर प्रणाली को एक वितरित बहुस्तरीय वास्तुकला में विस्तृत किया गया। जनवरी में यह परियोजना फ्लोरिडा में स्थित समर्पित सर्वरों पर संचालित थी। इस विन्यास में चलाने वाला एकमात्र मास्टर डेटाबेस सर्वर मल्टिपल स्लेव डेटाबेस सर्वर अपाचे सर्वर को चलने वाले वेब सर्वर और सात स्क्वीड केचे सर्वर शामिल हैं। विकिपीडिया दिन के समय के आधार पर प्रति सेकंड और के बीच पृष्ठ अनुरोधों को प्राप्त करता है। पृष्ठ अनुरोधों को पहले स्क्वीड कैचिंग सर्वर की सामने के अंत की परत को पास किया जाता है। जिन अनुरोधों को स्क्वीड केचे से सर्व नहीं किया जा सकता है उन्हें लिनक्स वर्चुअल सर्वर सॉफ्टवेयर चलाने वाले लोडबेलेंसिंग सर्वरों को भेज दिया जाता है जो बदले में डेटाबेस से पृष्ठ प्रतिपादन के लिए अपाचे वेब सर्वरों में से एक को यह अनुरोध भेज देता है। वेब सर्वर अनुरोध के अनुसार पृष्ठों की डिलीवरी करता है और विकिपीडिया के सभी भाषाओँ के संस्करणों के लिए पृष्ठ प्रतिपादन करता है। गति को और बढ़ाने के लिए प्रतिपादित पृष्ठों को एक वितरित स्मृति केचे में अमान्य करने तक रखा जाता है जिससे अधिकांश आम पृष्ठों के उपयोग के लिए पृष्ठ प्रतिपादन पूरी तरह से चूक जाता है। नीदरलैंड और कोरिया में दो बड़े समूह अब विकिपीडिया के अधिकांश ट्रेफिक लोड को संभालते हैं। विकिपीडिया में सभी पाठ्य फ्री डोक्युमेंटेशन लाइसेंस के द्वारा कवर किया गया यह एक कॉपीलेफ्ट लाइसेंस है जो पुनर्वितरण व्युत्पन्न कार्यों के निर्माण और अवयवों के वाणिज्यिक उपयोग की अनुमति देता है जबकि लेखक अपने कार्य के कॉपीराइट को बनाये रखते हैं जून तक जब साईट क्रिएटिव कोमन्स एटरीब्यूशनशेयर अलाइक को स्थानांतरित हो गयी। विकिपीडिया क्रिएटिव कॉमन्स लाईसेन्स की ओर स्थानान्तरण पर कार्य करती रही है क्योंकि जो प्रारंभ में सॉफ्टवेयर मेनवल के लिए डिजाइन की गयी वह ऑनलाइन सन्दर्भ कार्यों के लिए उपयुक्त नहीं है ओर क्योंकि दोनों लाइसेंस असंगत थे। नवम्बर में विकिमीडिया फाउंडेशन के अनुरोध की प्रतिक्रिया में फ्री सॉफ्टवेयर फाउंडेशन ने के नए संस्करण को जारी किया जिसे विशेष रूप से अगस्त को के लिए विकिपीडिया को समायोजित करने के लिए डिजाइन किया गया था। विकिपीडिया ओर इसकी सम्बन्धी परियोजनाओं ने एक समुदाय व्यापक जनमत संग्रह का आयोजन किया ताकि यह फैसला लिया जा सके कि इस लाइसेंस को बदला जाना चाहिए या नहीं। यह जनमत संग्रह अप्रैल से अप्रैल तक किया गया। परिणाम थे हाँ नहीं और कोई राय नहीं इस जनमत संग्रह के परिणाम में विकिमीडिया न्यासी मंडल ने क्रिएटिव कॉमन्स लाईसेन्स को प्रभावी जून से बदलने के लिए मतदान किया। यह स्थिति कि विकिपीडिया सिर्फ एक मेजबान सेवा है इसका उपयोग सफलतापूर्वक अदालत में एक बचाव के रूप में किया गया है। मीडिया फ़ाइलों उदाहरण छवि फ़ाइलें की हेंडलिंग का तरीका भाषा संस्करण के अनुसार अलग अलग होता है। कुछ भाषा संस्करण जैसे अंग्रेजी विकिपीडिया में उचित उपयोग सिद्धांत के अर्न्तगत गैर मुफ्त छवि फाइलें शामिल हैं जबकि अन्य में ऐसा नहीं होता है। यह भिन्न देशों के बीच कॉपीराइट कानूनों में अंतर के कारण आंशिक है उदाहरण के लिए उचित उपयोग की धारणा जापानी कॉपीराइट कानून में मौजूद नहीं है। मुफ्त सामग्री लाइसेंस के द्वारा कवर की जाने वाली मिडिया फाइलें उदाहरण क्रिएटिव कोमन्स को विकिमीडिया कोमन्स रिपोजिटरी के माध्यम से भाषा संस्करणों में शेयर किया जाता है यह विकिमीडिया फाउंडेशन द्वारा संचालित परियोजना है। वर्तमान में विकिपीडिया के भाषा संस्करण हैं इनमें से भाषाओं में से अधिक लेख है और भाषाओं में से अधिक लेख है। एलेक्सा के अनुसार अंग्रेजी उपडोमेन अंग्रेजी विकिपीडिया अन्य भाषाओँ में शेष विभाजन के साथ विकिपीडिया के कुल ट्रेफिक का भाग प्राप्त करता है स्पेनिश फ्रेंच पॉलिश जर्मन जापानी पुर्तगाली,Hindi
जुलाई को पांच सबसे बड़े भाषा संस्करण हैं लेख गणना के क्रम में अंग्रेजी जर्मन फ्रेंच पॉलिश और जापानी विकिपीडिया,Hindi
चूंकि विकिपीडिया वेब आधारित है और इसलिए पूरी दुनिया में समान भाषा संस्करण के योगदानकर्ता भिन्न बोलियों का प्रयोग कर सकते हैं या भिन्न देशों से आ सकते हैं जैसा कि अंग्रेजी संस्करण के मामले में होता है इन अंतरों के कारण वर्तनी अंतर जैसे रंग बनाम रंग या दृष्टिकोण पर कुछ मतभेद हो सकते हैं। हालाँकि वैश्विक नीतियों जैसे न्यूट्रल पॉइंट ऑफ़ व्यू के लिए कई भाषाओँ के संस्करण हैं वे नीति और अभ्यास के कुछ बिन्दुओं पर वितरित हो जाते हैं सबसे विशेषकर उन छवियों पर जिन्हें मुफ्त लाइसेंस प्राप्त नहीं हुआ है उनका उपयोग उचित उपयोग के एक दावे के अर्न्तगत किया जा सकता है। जिमी वेल्स ने विकिपीडिया को इस प्रकार से वर्णित किया है ग्रह पर हर एक व्यक्ति के लिए उनकी अपनी भाषा में उच्चतम संभव गुणवत्ता का एक मुफ्त विश्वकोश बनाने और वितरित करने का एक प्रयास। हालाँकि प्रत्येक भाषा संस्करण कम या अधिक स्वतंत्र रूप से कार्य करता है उन सब पर निगरानी रखने के लिए कुछ प्रयास किये जाते हैं। वे आंशिक रूप से मेटा विकी के द्वारा समन्वित किये जाते हैं विकिमीडिया फाउंडेशन का विकी इसकी सभी परियोजनाओं विकिपीडिया और अन्य के रख रखाव के लिए समर्पित है। उदाहरण के लिए मेटाविकी विकिपीडिया के सभी भाषा संस्करणों पर महत्वपूर्ण आंकडे उपलब्ध करता है और यह हर विकिपीडिया में आवश्यक लेखों की सूची रखता है। यह सूची विषय के अनुसार मूल अवयवों से प्रसंग रखती है जीवनी इतिहास भूगोल समाज संस्कृति विज्ञान प्रौद्योगिकी खाद्य पदार्थ और गणित,Hindi
शेष के लिए विशेष भाषा से सम्बंधित लेख के लिए अन्य संस्करणों में समकक्ष न होना दुर्लभ नहीं है। उदाहरण के लिए संयुक्त राज्य अमेरिका में छोटे शहरों के बारे में लेख केवल अंग्रेजी में ही उपलब्ध हो सकते हैं। अनुवादित लेख अधिकांश संस्करणों में लेख के एक छोटे हिस्से का प्रतिनिधित्व करते हैं क्योंकि लेखों के स्वचालित अनुवाद की अनुमति नहीं होती है। एक से अधिक भाषा में उपलब्ध लेख इंटरविकी लिंक पेश कर सकते हैं जो अन्य संस्करणों के समकक्ष लेखों से सम्बंधित होते हैं। विकिपीडिया लेखों के संग्रह ऑप्टिकल डिस्क्स पर प्रकाशित किया गया है। एक अंग्रेजी संस्करण विकिपीडिया सलेक्शन में लगभग लेख शामिल थे। पॉलिश संस्करण में लगभग लेख शामिल हैं। जर्मन संस्करण भी उपलब्ध हैं। अपने लेखों की संख्या में तार्किक विकास के अलावा में अपनी स्थापना के बाद से विकिपीडिया ने एक आम सन्दर्भ वेबसाइट के रूप में दर्जा प्राप्त किया है। अलेक्सा और कॉमस्कोर के अनुसार दुनिया भर में विकिपीडिया उन अग्रणी दस वेबसाईटों में है जिस पर लोग सबसे ज्यादा जाते हैं। शीर्ष दस में से विकिपीडिया ही एकमात्र गैर लाभ वेबसाइट है। गूगल खोज परिणामों में इसके प्रमुख स्थान द्वारा विकिपीडिया के विकास को प्रोत्साहित किया गया है विकिपीडिया में आने वाले सर्च इंजन ट्रेफिक का लगभग गूगल से आता है जिसमें से एक बड़ा भाग अकादमिक अनुसंधान से संबंधित है। अप्रैल में प्यू इन्टरनेट और अमेरिकन लाइफ परियोजना ने यह पाया कि एक तिहाई अमेरिकी इंटरनेट उपयोगकर्ता विकिपीडिया से सलाह लेते हैं। अक्टूबर में साइट का एक काल्पनिक खपत मूल्य अनुमानतः मिलियन था अगर साईट ने विज्ञापन चलाये,Hindi
विकिपीडिया के अवयवों को अकादमिक अध्ययन पुस्क्तकों सम्मेलनों और अदालत के मामले में प्रयुक्त किया गया है।कनाडा की संसद की वेबसाइट में सिविल विवाह अधिनियम के लिए इसके आगे पठन की सूची के सम्बंधित लिंक्स सेक्शन में समान लिंग विवाह पर विकिपीडिया के लेख से सम्बन्ध रखती है। विश्वकोश की स्वीकृतियों को संगठनों जैसे यू॰एस॰ फेडरल कोर्ट और विश्व बौद्धिक संपदा संगठन के द्वारा प्रयुक्त किया जाता है हालाँकि मुख्य रूप से इनका उपयोग मुख्य रूप से एक मामले के लिए जानकारी के फैसले से अधिक जानकारी के समर्थन के लिए होता है। विकिपीडिया पर प्रकट होने वाले अवयव कुछ अमेरिकी खुफिया एजेंसीयों की रिपोर्ट में एक स्रोत के रूप में उद्धृत किये गए हैं। दिसम्बर में वैज्ञानिक पत्रिका बायोलोजी ने अणुओं के वर्ग के वर्णन के लिए एक नया सेक्शन शुरू किया और इसे ऐसे लेखकों की जरुरत होती है जो विकिपीडिया में प्रकाशन के लिए वर्ग पर एक ड्राफ्ट लेख लिखने में मदद करते हैं। विकिपीडिया को पत्रकारिता में एक स्रोत के रूप में इस्तेमाल किया गया है कभी कभी बिना गुणधर्मों के ऐसा किया गया और कई पत्रकारों को विकिपीडिया से नक़ल करने के लिए बर्खास्त किया गया। जुलाई में विकिपीडियाने बीबीसी रेडियो पर मिनट के एक वृत्तचित्र को प्रस्तुत किया जिसने तर्क दिया कि उपयोगिता और जागरूकता के बढ़ने के साथ लोकप्रिय संस्कृति में विकिपीडिया के सन्दर्भ की संख्या इस प्रकार से है कि टर्म वीं सदी की संज्ञाओं के एक चयन बैंड में से एक है जो बहुत लोकप्रिय हैं गूगल फेसबुक यूट्यूब कि वे उन्हने अधिक व्याख्या की जरुरत नहीं होती है और हूवरिंग और कोक की तरह वीं सदी के टर्म्स के समतुल्य हैं। कई हास्यास्पद विकिपीडिया का खुलापन ऑनलाइन विश्वकोश परियोजना लेखों के संशोधन या विध्वंस प्रवृति के पात्रों को दर्शाता हैं। विशेष रूप से हास्य अभिनेता स्टीफन कोल्बेर्ट ने अपने शो द कोलबर्ट रिपोर्ट के असंख्य प्रकरणों में विकिपीडिया किए हास्य का प्रयोग किया है और इसके लिए एक शब्द दिया विकिअलिटी,Hindi
